sample,pop,h2s,cave,Urogenital_Ap_Area,Opening_length,Opening_width,Opening_area,Papilla_area,Prop_Ap_Opening_Area,Ap_Elongateness,Opening_aspect_ratio,Mass,SL
Bonita-001,Bonita,NS,S,0.35,0.102,0.206,0.019,0.285,0.054285714,2.019607843,2.233473684,1.55,40
Bonita-002,Bonita,NS,S,0.106,0.039,0.115,0.003,0.093,0.028301887,2.948717949,4.408333333,2.51,51
Bonita-003,Bonita,NS,S,0.217,0.094,0.064,0.005,0.184,0.023041475,0.680851064,0.8192,1.89,45
Bonita-004,Bonita,NS,S,0.083,0.083,0.095,0.007,0.081,0.084337349,1.144578313,1.289285714,1.92,44
Bonita-005,Bonita,NS,S,0.677,0.297,0.91,0.166,0.34,0.245199409,3.063973064,4.988554217,3.11,50
Bonita-006,Bonita,NS,S,0.292,0.062,0.215,0.01,0.29,0.034246575,3.467741935,4.6225,1.35,39
Bonita-007,Bonita,NS,S,0.084,0.121,0.146,0.011,0.058,0.130952381,1.20661157,1.937818182,1.84,42
Bonita-008,Bonita,NS,S,0.119,0.16,0.326,0.033,0.084,0.277310924,2.0375,3.220484848,1.36,39
Bonita-009,Bonita,NS,S,0.34,0.187,0.192,0.057,0.249,0.167647059,1.026737968,0.646736842,1.2,37
Bonita-010,Bonita,NS,S,0.131,0.127,0.176,0.024,0.097,0.183206107,1.385826772,1.290666667,2.13,45
Bonita-011,Bonita,NS,S,0.112,0.169,0.255,0.029,0.081,0.258928571,1.50887574,2.242241379,1.53,40
Bonita-013,Bonita,NS,S,0.057,0.069,0.081,0.003,0.053,0.052631579,1.173913043,2.187,2.1,45
Bonita-014,Bonita,NS,S,0.199,0.202,0.446,0.085,0.089,0.427135678,2.207920792,2.340188235,1.68,41
Bonita-015,Bonita,NS,S,0.401,0.232,0.399,0.062,0.374,0.154613466,1.719827586,2.567758065,2.14,44
Bonita-021,Bonita,NS,S,0.223,0.066,0.144,0.009,0.208,0.040358744,2.181818182,2.304,1.75,42
Bonita-022,Bonita,NS,S,0.696,0.169,0.196,0.028,0.58,0.040229885,1.159763314,1.372,1.63,41
Bonita-023,Bonita,NS,S,0.158,0.289,0.344,0.083,0.061,0.525316456,1.190311419,1.42573494,1.74,40
Bonita-025,Bonita,NS,S,0.081,0.202,0.24,0.034,0.051,0.419753086,1.188118812,1.694117647,1.59,41
Bonita-027,Bonita,NS,S,0.1,0.113,0.344,0.026,0.056,0.26,3.044247788,4.551384615,2.25,44
Bonita-028,Bonita,NS,S,0.868,0.119,0.4,0.032,0.863,0.036866359,3.361344538,5,2.19,47
Bonita-029,Bonita,NS,S,0.273,0.186,0.388,0.048,0.227,0.175824176,2.086021505,3.136333333,1.83,42
Bonita-030,Bonita,NS,S,0.409,0.257,0.298,0.068,0.275,0.166259169,1.159533074,1.305941176,1.92,44
Bonita-031,Bonita,NS,S,0.115,0.34,0.25,0.059,0.043,0.513043478,0.735294118,1.059322034,1.4,39
EAI-001,EAI,S,S,0.369,0.389,0.277,0.066,0.281,0.178861789,0.712082262,1.162560606,1.67,40
EAI-002,EAI,S,S,1.578,0.842,0.68,0.376,1.102,0.238276299,0.80760095,1.229787234,3.11,46
EAI-003,EAI,S,S,1.337,0.527,0.244,0.075,1.347,0.056095737,0.462998102,0.793813333,2.72,47
EAI-004,EAI,S,S,0.894,0.654,0.659,0.271,0.688,0.303131991,1.00764526,1.602512915,2.16,42
EAI-005,EAI,S,S,0.717,0.496,0.457,0.108,0.558,0.150627615,0.921370968,1.933787037,1.95,41
EAI-006,EAI,S,S,0.967,0.652,0.589,0.269,0.719,0.278179938,0.903374233,1.289669145,2.03,43
EAI-007,EAI,S,S,0.351,0.028,0.057,0.001,0.343,0.002849003,2.035714286,3.249,1.21,40
EAI-008,EAI,S,S,0.248,0.502,0.13,0.027,0.217,0.108870968,0.258964143,0.625925926,1.36,39
EAI-009,EAI,S,S,0.341,0.513,0.466,0.17,0.173,0.498533724,0.908382066,1.277388235,2.26,42
EAI-010,EAI,S,S,0.385,0.353,0.634,0.138,0.24,0.358441558,1.796033994,2.912724638,1.07,39
EAI-011,EAI,S,S,0.965,0.533,0.435,0.18,0.762,0.186528497,0.816135084,1.05125,2.23,44
EAI-012,EAI,S,S,0.446,0.52,0.632,0.216,0.24,0.484304933,1.215384615,1.849185185,1.54,40
EAI-013,EAI,S,S,0.788,0.505,0.299,0.089,0.613,0.112944162,0.592079208,1.004505618,1.53,40
EAI-014,EAI,S,S,0.755,0.577,0.432,0.179,0.568,0.237086093,0.748700173,1.042592179,1.48,40
EAI-015,EAI,S,S,0.421,0.406,0.216,0.058,0.381,0.137767221,0.532019704,0.804413793,2.33,47
EAI-016,EAI,S,S,0.414,0.411,0.417,0.085,0.341,0.20531401,1.01459854,2.045752941,1.08,34
EAI-017,EAI,S,S,0.313,0.338,0.206,0.059,0.25,0.188498403,0.609467456,0.719254237,1.09,35
AzufreC-001,Cueva,S,C,2.613,1.25,0.993,1.012,1.427,0.387294298,0.7944,0.974356719,2.62,52
AzufreC-002,Cueva,S,C,1.27,0.573,0.704,0.483,0.804,0.380314961,1.228621291,1.026120083,1.05,41
AzufreC-003,Cueva,S,C,0.742,0.346,0.895,0.218,0.433,0.293800539,2.586705202,3.674426606,0.59,34
AzufreC-004,Cueva,S,C,0.517,0.224,0.26,0.065,0.409,0.125725338,1.160714286,1.04,0.88,39
AzufreC-005,Cueva,S,C,0.394,0.276,0.397,0.106,0.289,0.269035533,1.438405797,1.486877358,0.62,34
AzufreC-006,Cueva,S,C,0.537,0.188,0.67,0.129,0.386,0.240223464,3.563829787,3.479844961,0.99,37
AzufreC-007,Cueva,S,C,1.391,1.028,0.916,0.895,0.525,0.643421999,0.891050584,0.937492737,1.12,42
AzufreC-008,Cueva,S,C,0.883,0.755,0.908,0.582,0.342,0.659116648,1.202649007,1.416604811,0.68,35
AzufreC-009,Cueva,S,C,1.098,0.52,0.926,0.468,0.48,0.426229508,1.780769231,1.832213675,0.78,34
AzufreC-010,Cueva,S,C,0.883,0.792,0.637,0.461,0.345,0.522083805,0.804292929,0.880193059,0.84,35
AzufreC-011,Cueva,S,C,1.171,0.779,0.798,0.593,0.561,0.506404782,1.024390244,1.073868465,0.74,35
LUAZF-001,Luna,NS,C,2.142,0.624,1.449,0.778,0.664,0.363211951,2.322115385,2.698715938,1.91,44
LUAZF-002,Luna,NS,C,1.54,0.616,0.981,0.649,0.865,0.421428571,1.592532468,1.482836672,1.1,41
LUAZF-003,Luna,NS,C,0.876,0.741,0.818,0.464,0.359,0.529680365,1.10391363,1.442077586,0.82,37
LUAZF-004,Luna,NS,C,1.282,0.597,0.756,0.196,0.907,0.152886115,1.266331658,2.916,0.82,39
LUAZF-005,Luna,NS,C,1.122,0.512,1.056,0.431,0.522,0.384135472,2.0625,2.587322506,1.05,39
LUAZF-006,Luna,NS,C,0.912,0.742,0.817,0.21,0.585,0.230263158,1.101078167,3.178519048,0.53,33
LUAZF-007,Luna,NS,C,0.922,0.718,0.696,0.422,0.456,0.457700651,0.969359331,1.147905213,0.91,38
LUAZF-008,Luna,NS,C,1.221,0.651,0.94,0.724,0.517,0.592956593,1.443932412,1.220441989,0.91,36
LUAZF-009,Luna,NS,C,0.728,0.786,0.765,0.449,0.286,0.616758242,0.973282443,1.303396437,0.91,38
LUAZF-010,Luna,NS,C,0.454,0.404,0.706,0.242,0.302,0.533039648,1.747524752,2.059652893,0.41,26
LUAZF-011,Luna,NS,C,1.023,0.515,0.77,0.413,0.581,0.403714565,1.495145631,1.43559322,1.02,41
LUAZF-012,Luna,NS,C,1.487,0.678,1.039,0.525,0.953,0.353059852,1.532448378,2.056230476,1.28,42
LUAZF-013,Luna,NS,C,0.929,0.47,0.824,0.366,0.512,0.393972013,1.753191489,1.855125683,0.86,38
LUAZF-014,Luna,NS,C,0.453,0.539,0.556,0.249,0.181,0.549668874,1.031539889,1.24151004,0.3,27
LUAZF-015,Luna,NS,C,0.58,0.683,0.631,0.342,0.268,0.589655172,0.9238653,1.16421345,0.66,34